Label,Field Type,Options/Other Details,Sub Category,Category,Unique ID,Description,Is Required,Is Hidden
Platform,Dropdown,Instagram | Facebook | Twitter/X | LinkedIn | YouTube | Other,Social Media,Sales & Marketing,SM-040,Which platform,Yes,No
Issue Description,Long Text,Details of social media problem,Social Media,Sales & Marketing,SM-041,What happened,Yes,No
Post/Content URL,Text,Link to specific post if applicable,Social Media,Sales & Marketing,SM-042,Reference link,No,No
Client Action Taken,Dropdown,Sent DM | Commented | Tried to Contact Via Post | Filled Form on Page | Clicked Link/Ad | Other,Social Media,Sales & Marketing,SM-043,How client engaged,Yes,No
Response Received,Radio,Yes - Timely | Yes - Delayed | No,Social Media,Sales & Marketing,SM-044,Whether client got response,Yes,No
Hours Until Response,Number,"If response received, time taken",Social Media,Sales & Marketing,SM-045,Response time,No,No
Issue Impact,Dropdown,Couldn't Book Class | Wrong Information Received | Missed Opportunity | Trust Impacted | Reputation Concern | Other,Social Media,Sales & Marketing,SM-046,Effect of issue,Yes,No
Content Corrected,Radio,Yes | No | N/A,Social Media,Sales & Marketing,SM-047,Whether post was fixed,No,No
Issue Type,Dropdown,Guest Pass Not Working | Referral Benefit Not Credited | Restrictions Not Mentioned | Referral Link Broken | Guest Pass Expired Early | Credit Amount Wrong | Other,Guest Passes/Referrals,Sales & Marketing,SM-048,Type of referral/guest pass issue,Yes,No
Program Type,Dropdown,Guest Pass | Referral Reward | Friend Referral | Corporate Partnership | Promotional Pass | Other,Guest Passes/Referrals,Sales & Marketing,SM-049,Which program,Yes,No
Referring Client Name,Text,Who gave the referral (if applicable),Guest Passes/Referrals,Sales & Marketing,SM-050,Referrer name,No,No
Referred Client Name,Text,Who received the pass/referral,Guest Passes/Referrals,Sales & Marketing,SM-051,Referee name,Yes,No
Pass/Code Used,Text,Specific pass number or code,Guest Passes/Referrals,Sales & Marketing,SM-052,Reference code,No,No
Expected Benefit,Text,What was promised,Guest Passes/Referrals,Sales & Marketing,SM-053,Expected reward,Yes,No
Actual Outcome,Text,What actually happened,Guest Passes/Referrals,Sales & Marketing,SM-054,Actual result,Yes,No
Pass Redeemed Successfully,Radio,Yes | No,Guest Passes/Referrals,Sales & Marketing,SM-055,Whether pass worked,Yes,No
Credit/Benefit Applied,Radio,Yes | No | Partially,Guest Passes/Referrals,Sales & Marketing,SM-056,Whether reward given,Yes,No
Expected Credit Amount,Number,Value promised,Guest Passes/Referrals,Sales & Marketing,SM-057,Expected value,No,No
Actual Credit Amount,Number,Value received,Guest Passes/Referrals,Sales & Marketing,SM-058,Actual value,No,No
Issue Resolved,Radio,Yes | No | Pending,Guest Passes/Referrals,Sales & Marketing,SM-059,Resolution status,Yes,No
Event Issue Type,Dropdown,Poor Organization | Event Cancelled | Misleading Event Details | Registration Issues | Overcrowded | Inadequate Facilities | Trainer/Speaker Issue | Not as Advertised | Other,Events & Workshops,Sales & Marketing,SM-060,Type of event issue,Yes,No
Event Name,Text,Name of event/workshop,Events & Workshops,Sales & Marketing,SM-061,Event title,Yes,No
Event Date,Date,When event occurred/was scheduled,Events & Workshops,Sales & Marketing,SM-062,Event date,Yes,No
Event Type,Dropdown,Workshop | Masterclass | Special Event | Pop-up Class | Community Event | Wellness Seminar | Other,Events & Workshops,Sales & Marketing,SM-063,Category of event,Yes,No
Trainer/Speaker,Text,Who was leading/speaking,Events & Workshops,Sales & Marketing,SM-064,Event leader,No,No
Registration Method,Dropdown,Website | App | Phone | Email | In-Person | Social Media,Events & Workshops,Sales & Marketing,SM-065,How client registered,Yes,No
Registration Successful,Radio,Yes | No,Events & Workshops,Sales & Marketing,SM-066,Whether booking worked,Yes,No
Event Fee,Number,Cost of event,Events & Workshops,Sales & Marketing,SM-067,Event price,No,No
Event Occurred,Radio,Yes - As Scheduled | Yes - Modified | No - Cancelled | No - Postponed,Events & Workshops,Sales & Marketing,SM-068,Whether event happened,Yes,No
Cancellation Notice Given,Radio,Yes - Adequate Time | Yes - Short Notice | No,Events & Workshops,Sales & Marketing,SM-069,"If cancelled, notice period",No,No
Event Issue Description,Long Text,Details of what went wrong,Events & Workshops,Sales & Marketing,SM-070,Problem specifics,Yes,No
Refund Requested,Radio,Yes | No,Events & Workshops,Sales & Marketing,SM-071,Client wants refund,No,No
Refund Processed,Radio,Yes | No | Pending | N/A,Events & Workshops,Sales & Marketing,SM-072,Refund status,No,No
Communication Issue Type,Dropdown,Inconsistent Messaging | Tone Mismatch | Cultural Insensitivity | Confusing Brand Voice | Conflicting Information Across Channels | Inappropriate Content | Other,Brand Communication,Sales & Marketing,SM-073,Type of communication issue,Yes,No
Communication Channel,Multi-select,Website | Social Media | Email | SMS | In-Studio Signage | Print Materials | App | Other,Brand Communication,Sales & Marketing,SM-074,Where issue appeared,Yes,No
Issue Description,Long Text,Details of communication problem,Brand Communication,Sales & Marketing,SM-075,What was problematic,Yes,No
Specific Content,Text,Quote or reference if applicable,Brand Communication,Sales & Marketing,SM-076,Specific messaging,No,No
Client Perception,Dropdown,Offensive | Confusing | Misleading | Inappropriate | Doesn't Match Brand | Other,Brand Communication,Sales & Marketing,SM-077,How client perceived it,Yes,No
Impact on Client,Text,How it affected the client,Brand Communication,Sales & Marketing,SM-078,Client reaction,Yes,No
Content Removed/Changed,Radio,Yes | No | Not Applicable,Brand Communication,Sales & Marketing,SM-079,Whether corrected,No,No
Hygiene Issue Type,Dropdown,Inadequate Sanitization | No Mask Enforcement | Surface Cleaning Poor | Dirty Equipment | Restroom Hygiene | Water Fountain Issues | Shower/Change Room Cleanliness | Other,Hygiene Protocols,Health & Safety,HS-001,Type of hygiene concern,Yes,No
Area Affected,Multi-select,Studio Floor | Equipment | Restrooms | Showers | Change Rooms | Front Desk | Waiting Area | Water Stations | Props Storage | All Areas,Hygiene Protocols,Health & Safety,HS-002,Where issue observed,Yes,No
Specific Observation,Long Text,Details of hygiene issue,Hygiene Protocols,Health & Safety,HS-003,What was observed,Yes,No
Time of Observation,Dropdown,Before Class | During Class | After Class | Between Classes | Off-Peak Hours,Hygiene Protocols,Health & Safety,HS-004,When observed,Yes,No
Class Attended,Dropdown,Studio Barre 57 | Studio Foundations | Studio Barre 57 Express | Studio Cardio Barre | Studio FIT | Studio Mat 57 | Studio SWEAT In 30 | Studio Amped Up! | Studio Back Body Blaze | Studio Cardio Barre Plus | Studio Cardio Barre Express | Studio HIIT | Studio Back Body Blaze Express | Studio Recovery | Studio Hosted Class | Studio Trainer's Choice | Studio Pre/Post Natal | Studio Mat 57 Express | Studio PowerCycle Express | Studio PowerCycle | Studio Strength Lab (Pull) | Studio Strength Lab (Full Body) | Studio Strength Lab (Push) | Studio Strength Lab | N/A,Hygiene Protocols,Health & Safety,HS-005,Associated class if any,No,No
Cleaning Staff Visible,Radio,Yes | No,Hygiene Protocols,Health & Safety,HS-006,Whether cleaning happening,Yes,No
Sanitization Supplies Available,Radio,Yes | No | Limited,Hygiene Protocols,Health & Safety,HS-007,Hand sanitizer/wipes present,Yes,No
Issue Reported to Staff,Radio,Yes | No,Hygiene Protocols,Health & Safety,HS-008,Whether client informed staff,Yes,No
Immediate Action Taken,Text,What staff did on the spot,Hygiene Protocols,Health & Safety,HS-009,Staff response,No,No
Photo Evidence,Radio,Yes - Attached | No,Hygiene Protocols,Health & Safety,HS-010,Whether photos provided,No,No
Injury Type,Dropdown,Muscle Strain | Joint Pain | Fall/Slip | Equipment Related | Overexertion | Existing Condition Aggravated | Other,Injury During Class,Health & Safety,HS-011,Type of injury,Yes,No
Injury Severity,Dropdown,Minor - No Medical Attention | Moderate - First Aid Given | Serious - Medical Attention Sought | Severe - Emergency Services Called,Injury During Class,Health & Safety,HS-012,How serious,Yes,No
Body Part Affected,Text,Which body part injured,Injury During Class,Health & Safety,HS-013,Location of injury,Yes,No
Class Type,Dropdown,Studio Barre 57 | Studio Foundations | Studio Barre 57 Express | Studio Cardio Barre | Studio FIT | Studio Mat 57 | Studio SWEAT In 30 | Studio Amped Up! | Studio Back Body Blaze | Studio Cardio Barre Plus | Studio Cardio Barre Express | Studio HIIT | Studio Back Body Blaze Express | Studio Recovery | Studio Hosted Class | Studio Trainer's Choice | Studio Pre/Post Natal | Studio Mat 57 Express | Studio PowerCycle Express | Studio PowerCycle | Studio Strength Lab (Pull) | Studio Strength Lab (Full Body) | Studio Strength Lab (Push) | Studio Strength Lab,Injury During Class,Health & Safety,HS-014,Which class,Yes,No
Class Date & Time,DateTime,When injury occurred,Injury During Class,Health & Safety,HS-015,Injury timestamp,Yes,No
Trainer,Dropdown,Anisha Shah | Atulan Purohit | Karanvir Bhatia | Mrigakshi Jaiswal | Reshma Sharma | Karan Bhatia | Pushyank Nahar | Shruti Kulkarni | Janhavi Jain | Rohan Dahima | Kajol Kanchan | Vivaran Dhasmana | Upasna Paranjpe | Richard D'Costa | Pranjali Jain | Saniya Jaiswal | Shruti Suresh | Cauveri Vikrant | Poojitha Bhaskar | Nishanth Raj | Siddhartha Kusuma | Simonelle De Vitre | Kabir Varma | Simran Dutt | Veena Narasimhan | Anmol Sharma | Bret Saldanha | Raunak Khemuka | Chaitanya Nahar | Sovena Shetty,Injury During Class,Health & Safety,HS-016,Instructor,Yes,No
How Injury Occurred,Long Text,Detailed description of incident,Injury During Class,Health & Safety,HS-017,Incident details,Yes,No
Modification Offered,Radio,Yes - Before Injury | Yes - After Injury | No,Injury During Class,Health & Safety,HS-018,Whether trainer gave modifications,Yes,No
First Aid Provided,Radio,Yes - Adequate | Yes - Inadequate | No,Injury During Class,Health & Safety,HS-019,Whether first aid given,Yes,No
First Aid Kit Available,Radio,Yes | No | Don't Know,Injury During Class,Health & Safety,HS-020,First aid supplies present,Yes,No
Medical Professional Consulted,Radio,Yes - Immediately | Yes - Later | No,Injury During Class,Health & Safety,HS-021,Whether doctor seen,Yes,No
Incident Report Completed,Radio,Yes | No,Injury During Class,Health & Safety,HS-022,Whether formal report made,Yes,No
Client Has Pre-existing Condition,Radio,Yes - Disclosed | Yes - Not Disclosed | No,Injury During Class,Health & Safety,HS-023,Medical history relevant,Yes,No
Pre-existing Condition Details,Text,"If yes, what condition",Injury During Class,Health & Safety,HS-024,Medical condition,No,No
Witness Present,Radio,Yes | No,Injury During Class,Health & Safety,HS-025,Others saw incident,No,No
Witness Name,Text,Name if willing to provide,Injury During Class,Health & Safety,HS-026,Witness identity,No,No
Emergency Prep Issue Type,Dropdown,Fire Exits Not Marked | Fire Extinguisher Missing/Expired | First Aid Kit Missing | No Emergency Protocols Visible | Emergency Lighting Not Working | Blocked Emergency Exit | No AED Available | Other,Emergency Preparedness,Health & Safety,HS-027,Type of preparedness issue,Yes,No
Specific Issue,Long Text,Details of safety concern,Emergency Preparedness,Health & Safety,HS-028,What is missing/wrong,Yes,No
Location in Studio,Text,Where in the facility,Emergency Preparedness,Health & Safety,HS-029,Specific location,Yes,No
Safety Equipment Affected,Multi-select,Fire Extinguisher | First Aid Kit | AED | Emergency Exits | Emergency Lighting | Evacuation Map | Fire Alarm | Other,Emergency Preparedness,Health & Safety,HS-030,Which safety items,Yes,No
Immediate Risk,Dropdown,Critical - High Risk | Moderate - Should Be Addressed Soon | Low - Precautionary,Emergency Preparedness,Health & Safety,HS-031,Level of urgency,Yes,No
Staff Aware of Issue,Radio,Yes | No,Emergency Preparedness,Health & Safety,HS-032,Whether team knows,Yes,No
Client Concern,Text,Why client is reporting this,Emergency Preparedness,Health & Safety,HS-033,Client's safety concern,Yes,No
Photo Evidence,Radio,Yes - Attached | No,Emergency Preparedness,Health & Safety,HS-034,Supporting images,No,No
Protocol Issue Type,Dropdown,Not Following Current Guidelines | No Temperature Checks | Overcrowding | Social Distancing Not Maintained | Mask Policy Not Enforced | Sick Person Allowed In | Other,COVID/Health Protocols,Health & Safety,HS-035,Type of protocol violation,Yes,No
Current Health Guidelines Applicable,Text,What protocols should be in place,COVID/Health Protocols,Health & Safety,HS-036,Expected protocols,Yes,No
Observed Violation,Long Text,What was not being followed,COVID/Health Protocols,Health & Safety,HS-037,Specific violation details,Yes,No
Class Attended,Dropdown,Studio Barre 57 | Studio Foundations | Studio Barre 57 Express | Studio Cardio Barre | Studio FIT | Studio Mat 57 | Studio SWEAT In 30 | Studio Amped Up! | Studio Back Body Blaze | Studio Cardio Barre Plus | Studio Cardio Barre Express | Studio HIIT | Studio Back Body Blaze Express | Studio Recovery | Studio Hosted Class | Studio Trainer's Choice | Studio Pre/Post Natal | Studio Mat 57 Express | Studio PowerCycle Express | Studio PowerCycle | Studio Strength Lab (Pull) | Studio Strength Lab (Full Body) | Studio Strength Lab (Push) | Studio Strength Lab | N/A,COVID/Health Protocols,Health & Safety,HS-038,Associated class,No,No
Number of People in Class,Number,Headcount,COVID/Health Protocols,Health & Safety,HS-039,Class size,Yes,No
Studio Capacity Limit,Number,What should be maximum,COVID/Health Protocols,Health & Safety,HS-040,Capacity limit,Yes,No
Staff Enforcing Protocols,Radio,Yes - Strictly | Yes - Loosely | No,COVID/Health Protocols,Health & Safety,HS-041,Whether staff monitoring,Yes,No
Client Raised Concern with Staff,Radio,Yes | No,COVID/Health Protocols,Health & Safety,HS-042,Whether reported on-site,Yes,No
Staff Response,Text,What staff said/did,COVID/Health Protocols,Health & Safety,HS-043,Staff action taken,No,No
Disclosure Issue Type,Dropdown,Not Asked for Medical History | Health Form Not Collected | Disclosed Condition Ignored | No Follow-up on Medical Info | Trainer Not Informed of Condition | Medical Info Lost/Not in System | Other,Medical Disclosure,Health & Safety,HS-044,Type of disclosure issue,Yes,No
Medical Information Status,Dropdown,Never Collected | Collected But Not Reviewed | Collected But Not Shared with Trainer | Incomplete Form | Other,Medical Disclosure,Health & Safety,HS-045,Status of medical info,Yes,No
Client Has Medical Condition,Radio,Yes | No,Medical Disclosure,Health & Safety,HS-046,Whether client has condition,Yes,No
Condition Type,Dropdown,Cardiovascular | Respiratory | Musculoskeletal | Pregnancy/Post-Partum | Neurological | Chronic Pain | Injury Recovery | Other | Prefer Not to Specify,Medical Disclosure,Health & Safety,HS-047,Category of condition,No,No
Condition Disclosed to Studio,Radio,Yes - Verbally | Yes - In Writing | No,Medical Disclosure,Health & Safety,HS-048,Whether studio informed,Yes,No
When Disclosed,Date,When information was shared,Medical Disclosure,Health & Safety,HS-049,Disclosure date,No,No
Trainer Awareness,Radio,Yes - Confirmed | Should Be But Unsure | No,Medical Disclosure,Health & Safety,HS-050,Whether trainer knew,Yes,No
Modifications Offered,Radio,Yes | No | Not Applicable,Medical Disclosure,Health & Safety,HS-051,Whether accommodations made,Yes,No
Safety Concern,Text,Why this is a problem,Medical Disclosure,Health & Safety,HS-052,Risk assessment,Yes,No
Incident Occurred,Radio,Yes | No - Precautionary Report,Medical Disclosure,Health & Safety,HS-053,Whether something happened,Yes,No
Incident Details,Long Text,"If yes, what happened",Medical Disclosure,Health & Safety,HS-054,Incident description,No,No
Equipment Issue Type,Dropdown,Unsafe/Damaged Equipment | No Safety Checks Visible | Sharp Edges | Unstable Props | Equipment Malfunction | Worn Out Equipment | Improper Storage | Other,Equipment Safety,Health & Safety,HS-055,Type of equipment issue,Yes,No
Equipment Type,Dropdown,Free Weights | Resistance Bands | Exercise Balls | Barre | Reformer | Bikes | Mats | Foam Rollers | Other Props | Multiple Items,Equipment Safety,Health & Safety,HS-056,Which equipment,Yes,No
Specific Equipment Details,Text,"Brand, color, location description",Equipment Safety,Health & Safety,HS-057,Equipment identification,Yes,No
Safety Concern Description,Long Text,Details of danger,Equipment Safety,Health & Safety,HS-058,What makes it unsafe,Yes,No
Injury Occurred,Radio,Yes | No - Precautionary,Equipment Safety,Health & Safety,HS-059,Whether someone got hurt,Yes,No
Injury Details,Text,"If yes, describe injury",Equipment Safety,Health & Safety,HS-060,Injury information,No,No
Equipment In Use,Radio,Yes - During Class | No - Discovered Before Use,Equipment Safety,Health & Safety,HS-061,Whether being used,Yes,No
Reported to Trainer/Staff,Radio,Yes | No,Equipment Safety,Health & Safety,HS-062,Whether staff informed,Yes,No
Equipment Removed from Use,Radio,Yes | No | Don't Know,Equipment Safety,Health & Safety,HS-063,Whether taken out of service,Yes,No
Photo Evidence,Radio,Yes - Attached | No,Equipment Safety,Health & Safety,HS-064,Supporting images,No,No
Air Quality Issue Type,Dropdown,Poor Ventilation | Strong Odors | Chemical Smells | Stuffy Environment | Mold/Mildew Smell | Cleaning Product Smell | Humidity Issues | Temperature Control Issues | Other,Air Quality,Health & Safety,HS-065,Type of air quality issue,Yes,No
Specific Concern,Long Text,Details of air quality problem,Air Quality,Health & Safety,HS-066,Description of issue,Yes,No
Area Affected,Multi-select,Studio Floor | Change Rooms | Showers | Restrooms | Waiting Area | Entire Facility,Air Quality,Health & Safety,HS-067,Where issue present,Yes,No
When Noticed,Dropdown,Upon Entry | During Class | After Class | Throughout Visit,Air Quality,Health & Safety,HS-068,When detected,Yes,No
Class Attended,Dropdown,Studio Barre 57 | Studio Foundations | Studio Barre 57 Express | Studio Cardio Barre | Studio FIT | Studio Mat 57 | Studio SWEAT In 30 | Studio Amped Up! | Studio Back Body Blaze | Studio Cardio Barre Plus | Studio Cardio Barre Express | Studio HIIT | Studio Back Body Blaze Express | Studio Recovery | Studio Hosted Class | Studio Trainer's Choice | Studio Pre/Post Natal | Studio Mat 57 Express | Studio PowerCycle Express | Studio PowerCycle | Studio Strength Lab (Pull) | Studio Strength Lab (Full Body) | Studio Strength Lab (Push) | Studio Strength Lab | N/A,Air Quality,Health & Safety,HS-069,Associated class,No,No
Temperature Issue,Dropdown,Too Hot | Too Cold | Fluctuating | Not Applicable,Air Quality,Health & Safety,HS-070,Temperature comfort,Yes,No
Health Impact,Dropdown,No Impact | Mild Discomfort | Breathing Difficulty | Headache | Nausea | Had to Leave Class | Other,Air Quality,Health & Safety,HS-071,Effect on client,Yes,No
Ventilation System Operating,Radio,Yes | No | Unclear,Air Quality,Health & Safety,HS-072,Whether AC/ventilation on,Yes,No
Windows/Doors Open,Radio,Yes | No | N/A,Air Quality,Health & Safety,HS-073,Natural ventilation,No,No
Reported to Staff,Radio,Yes | No,Air Quality,Health & Safety,HS-074,Whether staff informed,Yes,No
Staff Response,Text,What action staff took,Air Quality,Health & Safety,HS-075,Staff action,No,No
Issue Persistent,Radio,First Time Noticed | Recurring Issue | Ongoing Problem,Air Quality,Health & Safety,HS-076,Frequency of issue,Yes,No
Assigned To,Dropdown,Akshay Rane | Vahishta Fitter | Zaheer Agarbattiwala | Zahur Shaikh | Nadiya Shaikh | Admin Admin | Shipra Bhika | Imran Shaikh | Tahira Sayyed | Manisha Rathod | Sheetal Kataria | Priyanka Abnave | Api Serou | Prathap Kp | Pavanthika | Santhosh Kumar,Global,Global,GLB_012,Associate assigned to resolve,No,No
Status,Dropdown,New | In Progress | Pending Information | Resolved | Closed,Global,Global,GLB_013,Current ticket status,Yes,No
Resolution Notes,Long Text,Free text area,Global,Global,GLB_014,Actions taken and resolution details,No,Yes
Hygiene Issue Type,Multi-select Checkbox,Inadequate surface cleaning | Equipment not sanitized | Bathrooms/showers uncleaned | Cleaning supplies depleted | Visible dirt/grime | Unpleasant odors | Other,Hygiene Protocols,Health & Safety,HS_HYG_001,Specific hygiene concerns observed,Yes,No
Area Affected,Multi-select Checkbox,Studio floor | Bathrooms | Showers | Changing rooms | Reception | Equipment storage | Props/equipment | Other,Hygiene Protocols,Health & Safety,HS_HYG_002,Which areas have hygiene issues,Yes,No
Class Time/Session,Text,"e.g., ""7 :00 AM Barre 57"" or ""Between 2-3 PM""",Hygiene Protocols,Health & Safety,HS_HYG_003,When was the issue observed,No,No
Photographic Evidence,File Upload,Photo attachment,Hygiene Protocols,Health & Safety,HS_HYG_004,Visual documentation of issue,No,No
Client Complaint Received,Radio Button,Yes / No,Hygiene Protocols,Health & Safety,HS_HYG_005,Did a client report this directly?,Yes,No
Immediate Action Taken,Long Text,Free text description,Hygiene Protocols,Health & Safety,HS_HYG_006,What was done immediately to address,No,No
Cleaning Staff on Duty,Text,Name of cleaner/associate,Hygiene Protocols,Health & Safety,HS_HYG_007,Who was responsible for cleaning at time,No,No
Injury Type,Dropdown,Muscle strain | Joint pain | Fall/slip | Equipment-related | Dizziness/fainting | Other,Injury During Class,Health & Safety,HS_INJ_001,Type of injury sustained,Yes,No
Body Part Affected,Multi-select Checkbox,Head | Neck | Shoulder | Back | Hip | Knee | Ankle | Wrist | Other,Injury During Class,Health & Safety,HS_INJ_002,Which body part was injured,Yes,No
Class Type,Dropdown,Studio Barre 57 | Studio Foundations | Studio Barre 57 Express | Studio Cardio Barre | Studio FIT | Studio Mat 57 | Studio SWEAT In 30 | Studio Amped Up! | Studio Back Body Blaze | Studio Cardio Barre Plus | Studio Cardio Barre Express | Studio HIIT | Studio Back Body Blaze Express | Studio Recovery | Studio Hosted Class | Studio Trainer's Choice | Studio Pre/Post Natal | Studio Mat 57 Express | Studio PowerCycle Express | Studio PowerCycle | Studio Strength Lab (Pull) | Studio Strength Lab (Full Body) | Studio Strength Lab (Push) | Studio Strength Lab,Injury During Class,Health & Safety,HS_INJ_003,Which class was in session,Yes,No
Trainer Name,Dropdown,Anisha Shah | Atulan Purohit | Karanvir Bhatia | Mrigakshi Jaiswal | Reshma Sharma | Karan Bhatia | Pushyank Nahar | Shruti Kulkarni | Janhavi Jain | Rohan Dahima | Kajol Kanchan | Vivaran Dhasmana | Upasna Paranjpe | Richard D'Costa | Pranjali Jain | Saniya Jaiswal | Shruti Suresh | Cauveri Vikrant | Poojitha Bhaskar | Nishanth Raj | Siddhartha Kusuma | Simonelle De Vitre | Kabir Varma | Simran Dutt | Veena Narasimhan | Anmol Sharma | Bret Saldanha | Raunak Khemuka | Chaitanya Nahar | Sovena Shetty,Injury During Class,Health & Safety,HS_INJ_004,Instructor leading the class,Yes,No
Time into Class,Text,"e.g., ""15 minutes"" or ""During warm-up""",Injury During Class,Health & Safety,HS_INJ_005,When during class did injury occur,No,No
First Aid Provided,Radio Button,Yes / No,Injury During Class,Health & Safety,HS_INJ_006,Was first aid administered,Yes,No
First Aid Details,Long Text,Free text description,Injury During Class,Health & Safety,HS_INJ_007,What first aid was provided,No,No
Medical Attention Required,Radio Button,Yes / No / Client Declined,Injury During Class,Health & Safety,HS_INJ_008,Did client need/seek medical help,Yes,No
Incident Report Completed,Radio Button,Yes / No,Injury During Class,Health & Safety,HS_INJ_009,Was formal incident report filed,Yes,No
Client Had Disclosed Medical Condition,Radio Button,Yes / No / Unknown,Injury During Class,Health & Safety,HS_INJ_010,Did client have known health issues,Yes,No
Medical Condition Details,Text,Brief description if known,Injury During Class,Health & Safety,HS_INJ_011,What condition was disclosed,No,No
Trainer Aware of Condition,Radio Button,Yes / No / N/A,Injury During Class,Health & Safety,HS_INJ_012,Was trainer informed before class,No,No
Contributing Factors,Multi-select Checkbox,Equipment malfunction | Floor surface | Overcrowding | Inadequate modification offered | Client error | Other,Injury During Class,Health & Safety,HS_INJ_013,What may have contributed to injury,No,No
Witness Present,Radio Button,Yes / No,Injury During Class,Health & Safety,HS_INJ_014,Were there witnesses,No,No
Witness Names,Text,Names of witnesses,Injury During Class,Health & Safety,HS_INJ_015,Who witnessed the incident,No,No
Emergency Preparedness Issue,Multi-select Checkbox,Fire exits blocked/unmarked | Emergency lighting not functional | First aid kit missing/depleted | Fire extinguisher missing/expired | No emergency protocol displayed | Emergency contact numbers not posted | AED not available/not maintained | Other,Emergency Preparedness,Health & Safety,HS_EMP_001,What emergency preparedness gap exists,Yes,No
Specific Location of Issue,Text,"e.g., ""Near studio 2 entrance""",Emergency Preparedness,Health & Safety,HS_EMP_002,Where exactly is the issue,Yes,No
Photographic Evidence,File Upload,Photo attachment,Emergency Preparedness,Health & Safety,HS_EMP_003,Visual documentation,No,No
Risk Level Assessment,Dropdown,Low - Minor gap | Medium - Notable concern | High - Serious safety risk | Critical - Immediate hazard,Emergency Preparedness,Health & Safety,HS_EMP_004,Staff assessment of risk severity,Yes,No
Immediate Action Taken,Long Text,Free text description,Emergency Preparedness,Health & Safety,HS_EMP_005,What was done to mitigate immediately,No,No
Regulatory Compliance Issue,Radio Button,Yes / No / Unsure,Emergency Preparedness,Health & Safety,HS_EMP_006,Does this violate safety regulations,No,No
Protocol Violation Type,Multi-select Checkbox,No temperature checks conducted | Overcrowding beyond capacity | Inadequate spacing between clients | Mask policy not enforced | Symptomatic person allowed entry | Contact tracing information not collected | Other,COVID/Health Protocols,Health & Safety,HS_COV_001,Which protocols were not followed,Yes,No
Class/Session Affected,Dropdown,"All class types listed above + ""Multiple classes"" + ""General studio operations""",COVID/Health Protocols,Health & Safety,HS_COV_002,Which class had protocol issues,No,No
Number of People Present,Number,Numeric value,COVID/Health Protocols,Health & Safety,HS_COV_003,How many people were in space,No,No
Studio Capacity Limit,Number,Max allowed per guidelines,COVID/Health Protocols,Health & Safety,HS_COV_004,What is the capacity limit,No,No
Immediate Action Taken,Long Text,Free text description,COVID/Health Protocols,Health & Safety,HS_COV_005,Steps taken to address violation,Yes,No
Staff Member Responsible,Text,Name,COVID/Health Protocols,Health & Safety,HS_COV_006,Who was managing check-in/protocols,No,No
Disclosure Issue Type,Multi-select Checkbox,Client medical form not collected | Medical condition disclosed but ignored by trainer | No system to flag medical conditions | Medical information not accessible to trainer | Client condition discovered during class | Other,Medical Disclosure,Health & Safety,HS_MED_001,What medical disclosure issue occurred,Yes,No
Medical Condition Involved,Text,Brief description (keep confidential),Medical Disclosure,Health & Safety,HS_MED_002,What condition was relevant,No,No
Trainer Name,Dropdown,All trainers listed above,Medical Disclosure,Health & Safety,HS_MED_003,Trainer involved (if applicable),No,No
When Was Condition Disclosed,Dropdown,Before first class | During check-in | During class | After incident | Never disclosed,Medical Disclosure,Health & Safety,HS_MED_004,When did client share information,Yes,No
Was Information Documented,Radio Button,Yes / No / Unsure,Medical Disclosure,Health & Safety,HS_MED_005,Is it in client's record,Yes,No
Trainer Had Access to Information,Radio Button,Yes / No / Unsure / N/A,Medical Disclosure,Health & Safety,HS_MED_006,Could trainer see medical notes,No,No
Impact on Client,Dropdown,No impact | Minor discomfort | Injury/health incident | Client complaint | Other,Medical Disclosure,Health & Safety,HS_MED_007,What was the consequence,Yes,No
System Improvement Needed,Long Text,Free text suggestions,Medical Disclosure,Health & Safety,HS_MED_008,What process changes are needed,No,No
Equipment Type,Multi-select Checkbox,Barres | Mats | Weights | Resistance bands | Balls | Blocks | Straps | Benches | Cycles | Other,Equipment Safety,Health & Safety,HS_EQP_001,Which equipment has safety issues,Yes,No
Safety Issue,Multi-select Checkbox,Broken/damaged | Sharp edges | Unstable/wobbly | Worn out | Missing parts | Improper assembly | Poor maintenance | Other,Equipment Safety,Health & Safety,HS_EQP_002,What is the safety concern,Yes,No
Equipment ID/Number,Text,If equipment is labeled,Equipment Safety,Health & Safety,HS_EQP_003,Identifier for specific equipment,No,No
Photographic Evidence,File Upload,Photo attachment,Equipment Safety,Health & Safety,HS_EQP_004,Visual documentation of issue,No,No
Has This Caused Injury,Radio Button,Yes / No / Near miss,Equipment Safety,Health & Safety,HS_EQP_005,Did someone get hurt,Yes,No
Equipment Removed from Use,Radio Button,Yes / No,Equipment Safety,Health & Safety,HS_EQP_006,Was it taken out of circulation,Yes,No
Last Safety Check Date,Date,When was equipment last inspected,Equipment Safety,Health & Safety,HS_EQP_007,Date of last safety inspection,No,No
Immediate Action Taken,Long Text,Free text description,Equipment Safety,Health & Safety,HS_EQP_008,What was done immediately,Yes,No
Air Quality Issue,Multi-select Checkbox,Poor ventilation | Stuffy/stale air | Strong chemical smells | Cleaning product odors | Mold/mildew smell | Excessive humidity | Temperature too hot/cold | Other,Air Quality,Health & Safety,HS_AIR_001,What air quality issue exists,Yes,No
